OU1,OU2,UU,RU,NU,PU
,,Regieleki,Gardevoir,Doublade,Skuntank
Victini,,Ribombee,Gastrodon,Drampa,Dedenne
Volcarona,,Rotom-Heat,Glalie-mega,Drednaw,Delcatty
Zapdos,,Rotom-Wash,Golisopod,Druddigon,Delibird
Dragapult,,Salamence,Goodra,Dugtrio,Dewgong
Tornadus-Therian,,Scizor,Greninja,Duraludon,Drifblim
,,Serperior,Hatterene,Durant,Dugtrio-alola
,,Sharpedo-mega,Haxorus,Eelektross,Dunsparce
,,Slowking,Heracross,Eiscue,Dustox
,,Slowking-galar,Honchkrow,Eldegoss,Emolga
,,Staraptor,Hoopa,Electivire,Exeggutor
,,Swampert,Houndoom-mega,Electrode,Falinks
,,Sylveon,Incineroar,Emboar,Farfetchd
,,Tangrowth,Jellicent,Exeggutor-alola,Fearow
,,Togekiss,Jolteon,Exploud,Girafarig
,,Blissey,Kingdra,Feraligatr,Glaceon
,,Chansey,Klefki,Flapple,Glalie
,,,Linoone,Flareon,Golduck
,,,Lucario,Flygon,Golem
,,,Lycanroc-Dusk,Forretress,Golem-alola
,,,Magneton,Frosmoth,Gorebyss
,,,Marowak-alola,Furret,Granbull
,,,Meloetta,Garbodor,Grapploct
,,,Metagross,Gigalith,Greedent
,,,Mimikyu,Glastrier,Grumpig
,,,Moltres-galar,Gligar,Simisear
,,,Nidoqueen,Golurk,Gumshoos
,,,Ninetales-alola,Gothitelle,Hariyama
,,,Noivern,Gourgeist,Heatmor
,,,Obstagoon,Guzzlord,Hitmonchan
,,,Pidgeot-mega,Heliolisk,Houndoom
,,,Polteageist,Hitmonlee,Huntail
,,,Porygon-Z,Hitmontop,Hypno
,,,Primarina,Indeedee,Illumise
,,,Raikou,Inteleon,Jumpluff
,,,Registeel,Kingler,Jynx
,,,Reuniclus,Klinklang,Kabutops
,,,Roserade,Ludicolo,Kangaskhan
,,,Salazzle,Luxray,Kecleon
,,,Sceptile-mega,Machamp,Komala
,,,Seismitoad,Malamar,Kricketune
,,,Sharpedo,Mantine,Lanturn
,,,Shaymin,Medicham,Lapras
,,,Slowbro-galar,Mesprit,Leafeon
,,,Snorlax,Miltank,Leavanny
,,,Stakataka,Minior,Ledian
,,,Starmie,Mudsdale,Lickilicky
,,,Suicune,Muk,Liepard
,,,Tentacruel,Ninetales,Lilligant
,,,Tornadus,Ninjask,Lopunny
,,,Toxtricity,Omastar,Lumineon
,,,Tsareena,Oranguru,Lunatone
,,,Umbreon,Orbeetle,Lycanroc-MidDay
,,,Venusaur,Palossand,Lycanroc-Midnight
,,,Virizion,Pangoro,Magcargo
,,,Volcanion,Passimian,Manectric
,,,Zeraora,Perrserker,Maractus
,,,Zoroark,Persian-Alola,Marowak
,,,Zygarde-10,Politoed,Masquerain
,,,Venemoth,Probopass,Mawile
,,,,Pyukumuku,Meganium
,,,,Quagsire,Meltan
,,,,Qwilfish,Mewostic
,,,,Raichu-alola,Mightyena
,,,,Rampardos,Minun
,,,,Regidrago,Mismagius
,,,,Regirock,Morpeko
,,,,Rhyperior,Mothim
,,,,Rotom-Fan,Mr-Mime
,,,,Rotom-Frost,Mr-Rime
,,,,Rotom-Mow,Musharna
,,,,Runerigus,Noctowl
,,,,Samurott,Octillery
,,,,Sandaconda,Oricorio
,,,,Sawk,Pachirisu
,,,,Sawsbuck,Parasect
,,,,Scyther,Sirfetchd
,,,,Shiinotic,Persian
,,,,Sigilyph,Phione
,,,,Slaking,Pidgeot
,,,,Slurpuff,Pikachu
,,,,Sneasel,Simisage
,,,,Spiritomb,Pincurchin
,,,,Steelix,Pinsir
,,,,Steelix-mega,Plusle
,,,,Swellow,Poliwrath
,,,,Swoobat,Primeape
,,,,Talonflame,Purugly
,,,,Tauros,Pyroar
,,,,Throh,Raichu
,,,,Torkoal,Rapidash
,,,,Torterra,Rapidash-galar
,,,,Toxicroak,Raticate
,,,,Trevenant,Raticate-alola
,,,,Turtonator,Regice
,,,,Typhlosion,Regigigas
,,,,Tyrantrum,Relicanth
,,,,Uxie,Rotom
,,,,Vaporeon,Sableye
,,,,Vikavolt,Sandslash
,,,,Vileplume,Sandslash-alola
,,,,Vivillon,Sceptile
,,,,Weezing,Scrafty
,,,,Weezing-galar,Seaking
,,,,Whimsicott,Shedinja
,,,,Xatu,Shiftry
,,,,Yanmega,Silvally
,,,,Zarude,Simipour
,,,,,Smeargle
,,,,,Solrock
,,,,,Spinda
,,,,,Stantler
,,,,,Stonjourner
,,,,,Stoutland
,,,,,Stunfisk
,,,,,Stunfisk-galar
,,,,,Sudowoodo
,,,,,Sunflora
,,,,,Swalot
,,,,,Swanna
,,,,,Thievul
,,,,,Togedemaru
,,,,,Toucannon
,,,,,Tropius
,,,,,Unown
,,,,,Ursaring
,,,,,Vanilluxe
,,,,,Vespiquen
,,,,,Victreebel
,,,,,Volbeat
,,,,,Wailord
,,,,,Walrein
,,,,,Watchog
,,,,,Whiscash
,,,,,Wigglytuff
,,,,,WishiWashi
,,,,,Wobbufet
,,,,,Wormadam
,,,,,Zangoose
,,,,,Zebstrika
,,,,,Seviper
,,,,,Gallade
,,,,,Floatzel
,,,,,Shuckle
,,,,,Beautifly
,,,,,Dubwool
,,,,,Dusknoir
,,,,,Aggron
,,,,,Bellossom
,,,,,Furfrou
,,,,,Gogoat
,,,,,Unfezant
,,,,,Rhydon
